Team,Wins,Losses,Percentage
Haymakers,26,18,59.1%
Cox Slashers,23,17,57.5%
Duncan's Donuts,20,19,51.3%
Tri-Borough Deuces,22,22,50.0%
Party All The Time,17,22,43.6%
Beaver Street Bullies,14,24,36.8%
