Week,Home,Home Sets,Away,Away Sets,Location
1,Steel City Strokers,,Blints Backscreen Big Lobs,,Allegheny Country Club
1,Sewickley Soft Hands,,Lemon Pound Cakes,,Edgeworth Club
1,Breakin' Ballz,,Sewickley Slashers,,Sewickley YMCA
2,Sewickley Slashers,,Sewickley Soft Hands,,Allegheny Country Club
2,Blints Backscreen Big Lobs,,Breakin' Ballz,,Edgeworth Club
2,Lemon Pound Cakes,,Steel City Strokers,,Sewickley YMCA
3,Steel City Strokers,,Sewickley Soft Hands,,Allegheny Country Club
3,Blints Backscreen Big Lobs,,Lemon Pound Cakes,,Edgeworth Club
3,Breakin' Ballz,,Sewickley Slashers,,Sewickley YMCA
4,Sewickley Slashers,,Blints Backscreen Big Lobs,,Allegheny Country Club
4,Sewickley Soft Hands,,Breakin' Ballz,,Edgeworth Club
4,Lemon Pound Cakes,,Steel City Strokers,,Sewickley YMCA
5,Steel City Strokers,,Sewickley Slashers,,Allegheny Country Club
5,Blints Backscreen Big Lobs,,Sewickley Soft Hands,,Edgeworth Club
5,Lemon Pound Cakes,,Breakin' Ballz,,Sewickley YMCA
6,Sewickley Slashers,,Lemon Pound Cakes,,Allegheny Country Club
6,Sewickley Soft Hands,,Steel City Strokers,,Edgeworth Club
6,Breakin' Ballz,,Blints Backscreen Big Lobs,,Sewickley YMCA
7,Steel City Strokers,,Breakin' Ballz,,Allegheny Country Club
7,Blints Backscreen Big Lobs,,Sewickley Slashers,,Edgeworth Club
7,Lemon Pound Cakes,,Sewickley Soft Hands,,Sewickley YMCA
