Team,Wins,Losses,Percentage
Duncan's Donuts,37,30,55.2%
Trick Shots Only,42,35,54.5%
Tri-Borough Deuces,37,33,52.9%
Haymakers,36,36,50.0%
Cox Slashers,35,36,49.3%
Beaver Street Bullies,22,39,36.1%
